id,type,text1,text2,text3,notes
,,,,,
,,,,,
,,,,,
,,,,,
####################,,,,,
##                ##,,,,,
##     SHIPS      ##,,,,,
##                ##,,,,,
####################,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
,,,,,
,,,,,
,,,,,
# FROST,,,,,
,,,,,
,,,,,
daa_frost,SHIP,"A baseline model of Wanzer optimized for mission versatility and a light logistical load. This is the cheapest series of Wanzers still in service, but the chassis has solid characteristics all around, and a few updates to the design when needed have maintained its efficiency over the cycles.

The Frost is a 6th generation Wanzer but is only two generations into the space-oriented version of the Wanzer concept. The relative immaturity of the platform and its kinks have been ironed out over time, but the avionic controls are less than ideal for the extreme requirements of high-speed long-range space combat. As such the design had to be equipped with close-quarter weaponry to maximize the chances of a lethal hit: In this instance a Covet smooth-bore revolver that fires tungsten carbide flechettes accompanied by a tungsten coated, chemically sharpened monofilament combat blade. While limited in range, this line of Wanzers is still capable of handily carrying out their mission in the modern battlefield, and is not to be underestimated by standard fighter pilots.",,,
,,,,,
,,,,,
# STRIFE,,,,,
,,,,,
,,,,,
daa_strife,SHIP,"""An upgraded 6th generation Wanzer chassis, additional armor plating and redundant backup systems ensure this craft will keep its place to the top of the food chain. A versatile high damage Fragmentation load-out complemented by an integrated point defense system give this model a deadly reputation throughout the Sector. However it is somewhat lacking raw firepower when facing particularly armored targets.

With an additional Sub-reactor Combo Fuel pack attached to the rear of the Strife, much-needed power is fed into the pulse drives to maintain a favorable acceleration curve despite the weight of the extra applique gigajoule electro-armor. Still, the extensive model upgrades made the chassis somewhat unwieldy for interception roles, but the tradeoff is that even a single wing is more than capable of taking apart an isolated frigate.""",,,
,,,,,
,,,,,
# HOAR,,,,,
,,,,,
,,,,,
